date,listeners,streams,followers
2019-08-22,345,494,483
2019-08-21,518,689,483
2019-08-20,510,721,480
2019-08-19,449,812,477
2019-08-18,326,428,477
2019-08-17,409,676,476
2019-08-16,432,619,475
2019-08-15,506,720,474
2019-08-14,462,583,471
2019-08-13,571,781,469
2019-08-12,595,735,469
2019-08-11,347,445,468
2019-08-10,345,442,468
2019-08-09,453,607,466
2019-08-08,483,653,463
2019-08-07,423,622,460
2019-08-06,446,617,458
2019-08-05,468,603,456
2019-08-04,303,375,455
2019-08-03,403,494,455
2019-08-02,413,495,455
2019-08-01,419,518,456
2019-07-31,425,595,452
2019-07-30,442,572,450
2019-07-29,442,617,448
2019-07-28,388,502,447
2019-07-27,422,599,447
2019-07-26,529,726,447
2019-07-25,557,916,446
2019-07-24,590,875,442
2019-07-23,598,804,437
2019-07-22,576,817,436
2019-07-21,443,581,433
2019-07-20,412,522,432
2019-07-19,578,741,433
2019-07-18,631,835,432
2019-07-17,618,825,430
2019-07-16,703,959,430
2019-07-15,700,890,429
2019-07-14,486,632,427
2019-07-13,530,716,426
2019-07-12,652,961,425
2019-07-11,688,946,425
2019-07-10,704,975,423
2019-07-09,686,909,421
2019-07-08,731,1090,420
2019-07-07,551,717,418
2019-07-06,580,813,417
2019-07-05,704,960,415
2019-07-04,807,1020,414
2019-07-03,909,1232,414
2019-07-02,1037,1451,413
2019-07-01,1096,1484,412
2019-06-30,643,918,408
2019-06-29,692,985,400
2019-06-28,912,1313,398
2019-06-27,835,1262,394
2019-06-26,945,1284,388
2019-06-25,972,1371,383
2019-06-24,1035,1404,375
2019-06-23,789,1053,372
2019-06-22,834,1108,368
2019-06-21,1078,1461,367
2019-06-20,1181,1609,364
2019-06-19,1086,1530,353
2019-06-18,1273,2043,352
2019-06-17,1121,1680,344
2019-06-16,738,1103,333
2019-06-15,805,1343,328
2019-06-14,1089,2025,323
2019-06-13,360,476,319
2019-06-12,492,607,318
2019-06-11,526,627,316
2019-06-10,511,614,316
2019-06-09,348,399,315
2019-06-08,340,392,313
2019-06-07,421,515,313
2019-06-06,507,576,312
2019-06-05,366,439,310
2019-06-04,426,535,309
2019-06-03,434,555,308
2019-06-02,371,426,307
2019-06-01,464,568,307
2019-05-31,650,761,307
2019-05-30,749,907,307
2019-05-29,814,997,307
2019-05-28,1027,1333,306
2019-05-27,501,565,303
2019-05-26,438,484,304
2019-05-25,496,557,303
2019-05-24,780,917,302
2019-05-23,547,691,300
2019-05-22,427,578,300
2019-05-21,527,647,298
2019-05-20,506,634,298
2019-05-19,352,416,297
2019-05-18,328,415,297
2019-05-17,501,597,297
2019-05-16,602,723,297
2019-05-15,581,705,295
2019-05-14,626,771,295
2019-05-13,500,633,293
2019-05-12,501,601,291
2019-05-11,552,663,291
2019-05-10,689,841,291
2019-05-09,535,693,289
2019-05-08,617,776,288
2019-05-07,831,1045,288
2019-05-06,1140,1365,288
2019-05-05,395,460,287
2019-05-04,415,574,287
2019-05-03,673,799,287
2019-05-02,699,856,286
2019-05-01,670,816,283
2019-04-30,486,594,282
2019-04-29,546,717,281
2019-04-28,396,471,281
2019-04-27,377,441,280
2019-04-26,377,458,278
2019-04-25,708,833,277
2019-04-24,253,309,277
2019-04-23,323,402,277
2019-04-22,258,331,276
2019-04-21,194,226,276
2019-04-20,287,364,278
2019-04-19,387,488,278
2019-04-18,549,654,278
2019-04-17,781,961,277
2019-04-16,735,909,276
2019-04-15,547,690,275
2019-04-14,475,566,274
2019-04-13,384,444,273
2019-04-12,539,653,272
2019-04-11,491,652,272
2019-04-10,544,719,270
2019-04-09,629,802,265
2019-04-08,718,907,265
2019-04-07,261,350,265
2019-04-06,315,392,265
2019-04-05,603,791,264
2019-04-04,600,727,264
2019-04-03,678,814,264
2019-04-02,779,1022,260
2019-04-01,670,882,259
2019-03-31,439,530,259
2019-03-30,426,509,259
2019-03-29,502,616,259
2019-03-28,737,868,259
2019-03-27,531,631,258
2019-03-26,499,728,257
2019-03-25,527,679,257
2019-03-24,451,524,257
2019-03-23,498,590,257
2019-03-22,549,670,257
2019-03-21,709,894,256
2019-03-20,679,785,256
2019-03-19,372,475,256
2019-03-18,461,574,255
2019-03-17,457,529,254
2019-03-16,434,521,254
2019-03-15,394,497,254
2019-03-14,577,727,254
2019-03-13,539,652,254
2019-03-12,492,683,254
2019-03-11,825,1006,254
2019-03-10,519,618,253
2019-03-09,445,582,252
2019-03-08,524,707,253
2019-03-07,885,1143,252
2019-03-06,936,1192,250
2019-03-05,811,999,247
2019-03-04,745,994,246
2019-03-03,448,586,246
2019-03-02,395,539,244
2019-03-01,683,848,244
2019-02-28,644,903,241
2019-02-27,555,786,240
2019-02-26,794,945,240
2019-02-25,752,899,240
2019-02-24,728,861,238
2019-02-23,714,937,237
2019-02-22,845,998,236
2019-02-21,901,1118,235
2019-02-20,913,1086,234
2019-02-19,891,1079,234
2019-02-18,748,957,234
2019-02-17,547,619,234
2019-02-16,545,650,233
2019-02-15,649,859,233
2019-02-14,747,967,231
2019-02-13,666,901,227
2019-02-12,697,1119,227
2019-02-11,985,1393,227
2019-02-10,641,821,227
2019-02-09,682,805,226
2019-02-08,901,1061,225
2019-02-07,1130,1358,224
2019-02-06,950,1164,223
2019-02-05,868,1027,221
2019-02-04,1020,1221,220
2019-02-03,494,578,216
2019-02-02,644,767,216
2019-02-01,882,1049,215
2019-01-31,667,788,214
2019-01-30,896,1064,214
2019-01-29,903,1063,213
2019-01-28,674,856,213
2019-01-27,528,625,214
2019-01-26,521,655,214
2019-01-25,836,1034,214
2019-01-24,770,940,213
2019-01-23,876,1040,213
2019-01-22,779,1002,214
2019-01-21,714,925,214
2019-01-20,566,701,214
2019-01-19,562,659,214
2019-01-18,737,883,214
2019-01-17,911,1112,213
2019-01-16,977,1160,213
2019-01-15,961,1158,212
2019-01-14,898,1121,209
2019-01-13,597,733,205
2019-01-12,634,791,205
2019-01-11,839,984,205
2019-01-10,908,1080,203
2019-01-09,1008,1190,202
2019-01-08,1032,1240,202
2019-01-07,997,1163,198
2019-01-06,703,824,198
2019-01-05,754,933,197
2019-01-04,1158,1370,197
2019-01-03,1077,1326,197
2019-01-02,867,1062,195
2019-01-01,501,582,193
2018-12-31,616,725,193
2018-12-30,620,715,192
2018-12-29,579,733,190
2018-12-28,852,1023,190
2018-12-27,787,1012,186
2018-12-26,668,790,183
2018-12-25,514,616,182
2018-12-24,707,872,181
2018-12-23,780,1045,179
2018-12-22,1009,1261,177
2018-12-21,1642,1978,176
2018-12-20,1463,1837,173
2018-12-19,1826,2304,169
2018-12-18,1912,2394,162
2018-12-17,2044,2525,155
2018-12-16,693,867,149
2018-12-15,921,1146,149
2018-12-14,1780,2107,149
2018-12-13,1368,1710,148
2018-12-12,1024,1356,146
2018-12-11,1193,1550,143
2018-12-10,1470,1778,139
2018-12-09,569,669,137
2018-12-08,706,808,136
2018-12-07,808,945,136
2018-12-06,790,962,134
2018-12-05,968,1141,133
2018-12-04,857,1010,133
2018-12-03,935,1123,132
2018-12-02,536,693,131
2018-12-01,573,661,129
2018-11-30,909,1086,129
2018-11-29,1397,1662,128
2018-11-28,1384,1585,126
2018-11-27,1414,1605,123
2018-11-26,1200,1374,117
2018-11-25,869,1084,113
2018-11-24,974,1103,105
2018-11-23,695,800,101
2018-11-22,2,3,99
2018-11-21,2,2,99
2018-11-20,7,9,99
2018-11-19,3,4,99
2018-11-18,5,9,99
2018-11-17,4,7,99
2018-11-16,4,6,99
2018-11-15,5,9,99
2018-11-14,5,5,99
2018-11-13,6,6,99
2018-11-12,3,9,99
2018-11-11,5,12,99
2018-11-10,7,14,98
2018-11-09,6,17,98
2018-11-08,6,9,97
2018-11-07,7,27,97
2018-11-06,6,74,96
2018-11-05,4,13,96
2018-11-04,6,11,96
2018-11-03,3,6,96
2018-11-02,9,22,96
2018-11-01,8,11,96
2018-10-31,3,3,96
2018-10-30,6,7,96
2018-10-29,3,3,96
2018-10-28,4,7,96
2018-10-27,4,6,96
2018-10-26,7,7,96
2018-10-25,6,15,95
2018-10-24,9,17,95
2018-10-23,7,25,95
2018-10-22,7,12,95
2018-10-21,2,2,95
2018-10-20,4,8,95
2018-10-19,13,18,95
2018-10-18,8,15,95
2018-10-17,11,11,94
2018-10-16,8,10,94
2018-10-15,6,11,95
2018-10-14,7,12,95
2018-10-13,8,19,95
2018-10-12,10,15,95
2018-10-11,8,12,92
2018-10-10,6,9,91
2018-10-09,6,10,91
2018-10-08,6,7,91
2018-10-07,7,8,91
2018-10-06,8,20,90
2018-10-05,6,28,90
2018-10-04,8,11,90
2018-10-03,6,11,91
2018-10-02,6,11,90
2018-10-01,6,11,90
2018-09-30,9,18,90
2018-09-29,9,27,90
2018-09-28,9,46,90
2018-09-27,7,32,89
2018-09-26,7,14,88
2018-09-25,7,13,87
2018-09-24,9,12,86
2018-09-23,9,14,86
2018-09-22,4,5,86
2018-09-21,8,22,86
2018-09-20,8,21,86
2018-09-19,7,9,86
2018-09-18,5,6,86
2018-09-17,8,9,86
2018-09-16,8,14,86
2018-09-15,5,7,86
2018-09-14,5,11,86
2018-09-13,8,21,85
2018-09-12,6,15,85
2018-09-11,9,16,85
2018-09-10,7,14,83
2018-09-09,1,3,83
2018-09-08,7,9,83
2018-09-07,7,19,83
2018-09-06,6,17,83
2018-09-05,9,33,83
2018-09-04,9,19,83
2018-09-03,9,17,83
2018-09-02,8,10,83
2018-09-01,5,6,83
2018-08-31,14,30,82
2018-08-30,8,9,82
2018-08-29,9,16,82
2018-08-28,14,20,81
2018-08-27,11,20,80
2018-08-26,14,30,80
